yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
  158,   3.4330, -57.7254,  26.1038,  26.1564,  46.1333,  25.5009,   4.0974,  25.9365,  12.0028, 6.2612e+03,   796,  0.92570 
  159,   3.4370, -35.8022,  18.0915,   2.3732, 446.3259,   0.9824,   1.1197,   0.8157, 568.2483, 6.7035e+03,   796,  0.99413 
  160,   3.4410, -39.7631,  22.8088,   9.1331,  75.8451,   4.9207,   2.8291,   5.5288,  26.5865, 7.4032e+03,   796,  1.06960 
  161,   3.4450, -38.0863,  19.4023,   5.0342, 163.1186,   1.3013,   1.4580,   1.5226,  67.0926, 7.6149e+03,   796,  0.83337 
  162,   3.4490, -42.2614,  22.4548,   9.1384,  75.3364,   4.3551,   2.3675,   4.9128,  23.5634, 6.2075e+03,   796,  0.61557 
  163,   3.4530, -56.4817,  26.9371,  25.2385,  41.9634,  79.5807,   9.8095,  80.2419,  27.3232, 5.7089e+03,   796,  1.11299 
  164,   3.4570, -49.5183,  25.6935,  18.7178,  47.1034,  19.8888,   3.9725,  20.2991,  14.2132, 4.8245e+03,   796,  0.62878 
  165,   3.4610, -31.4373,  19.4848,   1.4759, 2295.7927,   0.8176,   1.1643,   0.6580, 18781.8923, 5.3782e+03,   796,  0.97450 
  166,   3.4650, -36.0322,  20.2951,   3.3629, 232.7001,   1.0559,   1.3716,   1.1959, 155.8534, 6.2912e+03,   796,  0.93677 
  168,   3.4730, -39.4615,  21.1144,   4.9263, 137.9858,   1.7276,   1.7603,   2.1161,  65.8858, 8.1345e+03,   796,  1.38150 
  170,   3.4810, -38.5555,  22.2988,   5.8043, 169.6454,   1.5788,   1.7982,   1.9344,  74.9762, 7.8096e+03,   796,  1.34574 
  171,   3.4850, -39.6104,  26.9381,   8.9713, 100.7241,   4.9063,   3.3877,   5.4743,  42.7688, 7.9379e+03,   796,  1.05439 
  172,   3.4890, -41.7223,  24.8806,   8.0605,  88.5209,   5.0206,   3.0579,   5.6313,  39.6293, 8.4504e+03,   796,  0.98574 
  174,   3.4970, -46.6357,  25.4481,  11.9245,  73.1128,   7.3218,   3.1333,   7.9122,  24.6496, 6.7166e+03,   796,  0.88530 
  175,   3.5010, -42.7165,  22.2503,   6.2263, 112.8947,   2.2022,   1.7756,   2.6518,  42.6171, 6.6767e+03,   796,  1.20481 
  176,   3.5050, -41.1662,  22.9645,   6.7441, 113.3752,   2.3264,   1.9155,   2.7785,  40.8200, 6.4215e+03,   796,  0.95698 
  177,   3.5090, -39.1186,  22.6032,   5.3970, 131.6282,   1.8247,   1.7776,   2.2190,  55.4264, 6.1615e+03,   796,  0.91194 
  178,   3.5130, -35.7065,  20.3515,   3.0844, 479.9133,   0.9781,   1.3344,   0.9763, 581.6013, 7.0963e+03,   796,  0.74303 
  179,   3.5170, -39.4095,  20.0197,   3.3397, 476.4179,   0.9302,   1.1247,   0.9069, 494.5217, 6.4109e+03,   796,  0.96533 
  180,   3.5210, -38.7460,  23.4125,   6.2409, 169.0149,   1.6031,   1.7915,   1.9635,  68.6112, 6.5837e+03,   796,  0.68571 
  181,   3.5250, -36.9712,  23.5724,   5.1589, 170.5025,   1.6266,   1.9089,   1.9916,  85.3872, 6.6810e+03,   796,  0.92461 
  182,   3.5290, -37.3565,  20.9280,   3.0488, 349.6530,   1.1317,   1.5100,   1.2318, 391.9652, 8.5758e+03,   796,  1.31553 
  183,   3.5330, -41.2835,  24.8208,   9.0523,  98.1246,   4.3764,   2.9970,   4.9936,  38.7908, 9.4799e+03,   796,  0.92847 
  185,   3.5410, -38.3382,  22.7218,   5.9209, 121.1097,   1.9894,   1.8617,   2.3998,  46.1254, 5.8785e+03,   796,  0.82665 
  186,   3.5450, -35.9964,  21.3439,   4.3363, 285.5913,   0.9946,   1.3747,   1.1388, 169.2493, 5.8610e+03,   796,  0.74495 
  187,   3.5490, -35.8297,  19.6783,   2.5507, 760.3844,   0.8462,   1.0910,   0.7520, 1367.6457, 5.5734e+03,   796,  0.64838 
  188,   3.5530, -37.7634,  23.6603,   6.7876, 121.8395,   2.3322,   2.1733,   2.7846,  46.1721, 6.6889e+03,   796,  0.87984 
  189,   3.5570, -35.7377,  20.5888,   3.2538, 304.5279,   1.0401,   1.4157,   1.1376, 259.4640, 6.9525e+03,   796,  1.32618 
  190,   3.5610, -36.0596,  22.1139,   4.3335, 134.0847,   1.7814,   1.9237,   2.1761,  71.0575, 6.7468e+03,   796,  0.78234 
  191,   3.5650, -37.2749,  22.9476,   5.3580, 136.2794,   1.8489,   1.9190,   2.2475,  60.1182, 6.3599e+03,   796,  1.22599 
  192,   3.5690, -67.3444,  31.8123,  35.1863,  52.6109,  72.8297,   9.9795,  73.5120,  26.0748, 7.8494e+03,   796,  1.32122 
