yIndex,   yValue,        a,       Ta,        b,       Tb,     e(a),    e(Ta),     e(b),    e(Tb),      SSR,       DF, chi-sq/ndf
  170,   3.4810, -38.5546,  22.2986,   5.8036, 169.6790,   1.5790,   1.8000,   1.9350,  75.0800, 7.8096e+03,   796,  1.34574 
  171,   3.4850, -39.6084,  26.9371,   8.9692, 100.7410,   4.9080,   3.3910,   5.4750,  42.8000, 7.9379e+03,   796,  1.05439 
  172,   3.4890, -41.7059,  24.8706,   8.0416,  88.6528,   5.0030,   3.0560,   5.6130,  39.7200, 8.4504e+03,   796,  0.98574 
  174,   3.4970, -46.6250,  25.4430,  11.9124,  73.1483,   7.3120,   3.1350,   7.9020,  24.6600, 6.7166e+03,   796,  0.88530 
  175,   3.5010, -42.7125,  22.2451,   6.2197, 112.9790,   2.2000,   1.7760,   2.6490,  42.7000, 6.6768e+03,   796,  1.20481 
  176,   3.5050, -41.1638,  22.9606,   6.7397, 113.4170,   2.3260,   1.9160,   2.7780,  40.8700, 6.4215e+03,   796,  0.95698 
  177,   3.5090, -39.1166,  22.6008,   5.3941, 131.7010,   1.8240,   1.7790,   2.2180,  55.5200, 6.1614e+03,   796,  0.91194 
  178,   3.5130, -35.7064,  20.3499,   3.0833, 480.5170,   0.9780,   1.3350,   0.9765, 583.8000, 7.0963e+03,   796,  0.74303 
  179,   3.5170, -39.4095,  20.0194,   3.3394, 476.5370,   0.9301,   1.1250,   0.9074, 495.4000, 6.4109e+03,   796,  0.96533 
  180,   3.5210, -38.7431,  23.4105,   6.2378, 169.1420,   1.6030,   1.7930,   1.9630,  68.7700, 6.5837e+03,   796,  0.68571 
  181,   3.5250, -36.9682,  23.5695,   5.1553, 170.6750,   1.6260,   1.9100,   1.9910,  85.6200, 6.6810e+03,   796,  0.92461 
  182,   3.5290, -37.3592,  20.9282,   3.0505, 348.8570,   1.1320,   1.5110,   1.2340, 390.8000, 8.5758e+03,   796,  1.31553 
  183,   3.5330, -41.2774,  24.8158,   9.0446,  98.1774,   4.3730,   2.9980,   4.9890,  38.8400, 9.4799e+03,   796,  0.92848 
  185,   3.5410, -38.3336,  22.7163,   5.9141, 121.2320,   1.9870,   1.8620,   2.3970,  46.2300, 5.8785e+03,   796,  0.82665 
  186,   3.5450, -35.9952,  21.3437,   4.3354, 285.7300,   0.9947,   1.3760,   1.1390, 169.6000, 5.8610e+03,   796,  0.74495 
  187,   3.5490, -35.8298,  19.6775,   2.5502, 761.3210,   0.8460,   1.0920,   0.7523, 1373.0000, 5.5734e+03,   796,  0.64838 
  188,   3.5530, -37.7635,  23.6604,   6.7878, 121.8370,   2.3340,   2.1750,   2.7860,  46.2100, 6.6889e+03,   796,  0.87984 
  189,   3.5570, -35.7376,  20.5882,   3.2534, 304.6240,   1.0400,   1.4170,   1.1380, 259.9000, 6.9525e+03,   796,  1.32617 
  190,   3.5610, -36.0588,  22.1129,   4.3324, 134.1200,   1.7820,   1.9250,   2.1770,  71.1500, 6.7468e+03,   796,  0.78234 
  191,   3.5650, -37.2710,  22.9432,   5.3526, 136.4240,   1.8470,   1.9190,   2.2450,  60.2700, 6.3599e+03,   796,  1.22599 
  192,   3.5690, -61.8933,  31.0002,  29.6806,  54.9452,  49.7200,   8.4470,  50.4000,  25.1200, 7.8497e+03,   796,  1.32127 
  193,   3.5730, -39.4493,  23.4823,   6.4597, 103.5360,   3.0290,   2.3750,   3.5490,  44.7100, 7.4168e+03,   796,  1.31384 
  194,   3.5770, -38.7436,  24.1586,   7.2578, 117.0550,   2.3770,   2.0670,   2.8070,  39.6600, 5.5941e+03,   796,  0.83113 
